INT_KEY,X,Y,INTERSECTION_NAME,COUNT_COLLISIONS,COUNT_RELATED_STREETS,AVG_PVMT_CONDITION,AVG_SPEEDLIMIT,SIGNAL_TYPE,TRAFFIC_CIRCLE_EXISTS,ARTERIAL_CLASSIFICATION,COUNT_STOPSIGNS,COUNT_YEILDSIGNS,LIGHTPOLE_COUNT,LIGHTPOLE_AVG_HEIGHT,INTERSECTION_SUBAREA
29469,-122.283072375,47.621244129,LAKE WASHINGTON BLVD E AND MCGILVRA BLVD E,3,3,54.666666667,25,NONE,False,3,5,0,1,30,E
30005,-122.294863275,47.615279374,29TH AVE AND E PINE ST,3,4,52,20,NONE,False,0,0,0,1,50,CNTRL
31334,-122.320203346,47.581884302,S STACY ST AND DEAD END 1,0,1,0,20,NONE,False,0,0,0,0,0,GRDWM
340119,-122.374364415,47.640686574,GILMAN UPPER DR W AND W WHEELER ST,2,1,0,20,NONE,False,0,0,0,1,30,MGNL-QA
516428,-122.340889129,47.632552572,8TH AVE N AND WESTLAKE N AVE N,12,1,0,20,CITY,False,1,0,0,2,35,MGNL-QA
286961,-122.320598716,47.523059468,DUWAMISH RIVER TRL AND S HENDERSON ST,0,1,0,20,NONE,False,,0,0,1,20,GRDWM
29592,-122.338903694,47.609285143,2ND AVE AND PIKE ST,58,4,80.25,25,CITY,False,1,0,0,2,15,DWNTN
30040,-122.299105831,47.617636816,E HOWELL ST AND DEAD END,0,1,81,20,NONE,False,0,0,0,1,40,CNTRL
27647,-122.388937557,47.643465493,25TH AVE W AND W RAYE ST,4,4,91.75,20,NONE,False,0,0,0,1,45,MGNL-QA
25064,-122.398317854,47.668624178,32ND AVE NW AND NW MARKET ST,12,4,84.25,23.75,NONE,False,3,2,0,2,52.5,BLRD
28790,-122.339768873,47.620878931,9TH AVE N AND THOMAS ST,23,4,60.5,22.5,NONE,False,1,0,0,1,55,LKUN
25827,-122.324460075,47.672254747,4TH AVE NE AND NE 60TH ST,0,3,77.666666667,20,NONE,False,0,0,0,1,55,LKUN-NW
32644,-122.289910504,47.572475241,34TH AVE S AND S HINDS ST,0,3,55,20,NONE,False,0,0,0,1,45,SE
27971,-122.371623311,47.637167211,11TH AVE W AND GILMAN UPPER DR W,0,1,0,20,NONE,False,0,0,0,1,35,MGNL-QA
37268,-122.372762833,47.690626543,13TH AVE NW AND NW 85TH ST,10,4,87,22.5,NONE,False,1,2,0,1,60,BLRD
36590,-122.331276653,47.706831382,CORLISS AVE N AND CORLISS AV I5 SB ON RP,2,1,0,30,NONE,False,5,1,0,0,0,NW
31413,-122.296970552,47.586894852,28TH AVE S AND S GRAND ST,0,3,65,20,NONE,False,0,0,0,1,47,SE
30870,-122.289821955,47.576747650,34TH AVE S AND S MOUNT BAKER EB BV,0,1,76,20,NONE,False,3,1,0,1,30,SE
26819,-122.344589594,47.658670120,WOODLAND PARK AVE N AND N MOTOR PL,0,3,24,20,NONE,False,0,0,0,1,45,LKUN
34560,-122.286059642,47.537065154,S MYRTLE PL AND S OTHELLO ST,3,2,38,25,NONE,False,1,0,0,2,32.5,GRDWM
28440,-122.307277799,47.637923478,19TH AVE E AND BOYER AVE E,2,4,45.25,22.5,NONE,False,2,2,0,1,60,NE
32845,-122.389545294,47.559326658,45TH AVE SW AND SW EDMUNDS ST,2,4,56,20,NONE,False,0,2,0,1,40,SW
31445,-122.292998194,47.584470176,31ST AVE S AND S HILL ST,0,3,49.333333333,23.333333333,NONE,False,3,1,0,1,50,SE
36826,-122.285288568,47.711885275,40TH AVE NE AND NE 115TH ST,3,4,91,20,NONE,False,0,0,2,1,50,N
