UNITDESC,SIGNAL_TYPE,COMPTYPE,CONDITION,ARTERIAL_CLASS,INT_SIGNAL_TYPE_CD,PEDSIGNALYN,PEDAUDIODEVICEYN,PP_QUANTITY,PH_QUANTITY,BIKESIGNALHDYN,LTTURNSIGNALYN,RTTURNSIGNALYN,DETDEVSTOPBARYN,DETDEVADVANCEDYN,DETDEVSYSTEMYN,NUM_ATTACHMENTS
5TH AVE AND WALL ST                                                                                                                                                                                                                                            ,SEMI,74,POOR,1.0,CITY,N,N,0,8,N,N,N,Y,N,N,0
4TH AVE S AND EAST MARGINAL WAY S                                                                                                                                                                                                                              ,SEMI,74,POOR,1.0,CITY,N,N,8,16,N,Y,N,N,Y,Y,2
3RD AVE AND PIKE ST                                                                                                                                                                                                                                            ,PRE,74,FAIR,1.0,CITY,N,N,0,16,N,N,N,N,N,N,0
9TH AVE N AND ROY ST                                                                                                                                                                                                                                           ,SEMI,74,POOR,1.0,CITY,N,N,8,12,N,N,N,N,N,Y,0
9TH AVE AND HOWELL ST                                                                                                                                                                                                                                          ,PRE,74,FAIR,1.0,CITY,N,N,0,20,N,N,N,N,N,N,0
15TH AVE NE AND NE 143RD ST                                                                                                                                                                                                                                    ,SEMI,74,POOR,1.0,CITY,N,N,4,16,N,N,N,N,N,N,0
24TH AVE NW AND NW 80TH ST                                                                                                                                                                                                                                     ,PRE,74,POOR,2.0,CITY,N,N,0,8,N,N,N,N,N,N,0
15TH AVE S AND S OREGON ST                                                                                                                                                                                                                                     ,SEMI,74,FAIR,2.0,CITY,N,N,8,10,N,N,N,N,N,N,0
FAUNTLEROY WAY SW AND SW ALASKA ST                                                                                                                                                                                                                             ,SEMI,74,POOR,1.0,CITY,N,N,8,12,N,N,N,N,N,N,2
28TH AVE E AND E MADISON ST                                                                                                                                                                                                                                    ,SEMI,74,POOR,2.0,CITY,N,Y,4,10,N,N,N,N,N,N,0
DELRIDGE WAY SW AND SW THISTLE ST                                                                                                                                                                                                                              ,SEMI,74,POOR,1.0,CITY,N,N,8,16,N,N,N,N,N,N,0
20TH AVE W AND W DRAVUS ST                                                                                                                                                                                                                                     ,SEMI,74,POOR,1.0,CITY,N,N,8,16,Y,N,N,N,N,N,0
2ND AVE AND CHERRY ST                                                                                                                                                                                                                                          ,PRE,74,FAIR,1.0,CITY,N,N,0,16,Y,N,N,N,N,N,0
EASTLAKE AVE E AND E GARFIELD ST                                                                                                                                                                                                                               ,SEMI,74,POOR,1.0,CITY,N,N,2,16,N,N,N,N,N,N,0
RAINIER AVE S AND S MASSACHUSETTS ST                                                                                                                                                                                                                           ,SEMI,74,POOR,1.0,CITY,N,N,4,16,N,Y,N,N,N,N,0
39TH AVE S AND S OTHELLO ST                                                                                                                                                                                                                                    ,SEMI,74,POOR,1.0,CITY,N,N,8,16,N,N,N,N,N,N,0
8TH AVE NE AND NE NORTHGATE WAY                                                                                                                                                                                                                                ,SEMI,74,FAIR,1.0,HALFPED,N,N,8,8,N,N,N,N,N,N,0
4TH AVE S AND S HOLGATE ST                                                                                                                                                                                                                                     ,SEMI,74,FAIR,1.0,CITY,N,N,4,8,N,Y,N,Y,Y,Y,2
DELRIDGE WAY SW BETWEEN 22ND AVE SW AND SW WILLOW ST                                                                                                                                                                                                           ,SEMI,74,POOR,0.0, ,Y,N,4,2,N,N,N,N,N,N,1
6TH AVE S AND S MICHIGAN ST                                                                                                                                                                                                                                    ,SEMI,74,POOR,1.0,CITY,N,N,8,8,N,N,N,N,N,N,0
1ST AVE AND SENECA ST                                                                                                                                                                                                                                          ,PRE,74,FAIR,1.0,CITY,N,N,0,8,N,N,N,N,N,N,0
15TH AVE W AND GILMAN UPPER DR W                                                                                                                                                                                                                               ,SEMI,74,FAIR,1.0,CITY,N,N,2,6,N,Y,N,N,N,N,0
42ND AVE SW AND SW OREGON ST                                                                                                                                                                                                                                   ,SEMI,74,GOOD,2.0,CITY,N,N,4,8,N,N,N,N,N,N,0
BOREN AVE AND UNIVERSITY ST                                                                                                                                                                                                                                    ,SEMI,74,POOR,1.0,CITY,N,N,4,16,N,N,N,N,N,N,0
19TH AVE NE AND NE 45TH ST                                                                                                                                                                                                                                     ,SEMI,74,POOR,1.0,CITY,N,N,0,6,N,Y,N,N,N,N,0
20TH AVE AND E MADISON ST                                                                                                                                                                                                                                      ,SEMI,74,POOR,1.0,CITY,N,N,4,16,N,N,N,Y,N,N,0
8TH AVE NW AND NW 65TH ST                                                                                                                                                                                                                                      ,SEMI,74,POOR,2.0,CITY,N,N,4,16,N,Y,N,N,N,N,0
15TH AVE S AND S LUCILE ST                                                                                                                                                                                                                                     ,SEMI,74,FAIR,2.0,CITY,N,N,8,8,N,N,N,Y,N,N,1
EAST MARGINAL WAY S AND S MICHIGAN ST                                                                                                                                                                                                                          ,SEMI,74,POOR,1.0,CITY,N,N,6,12,N,Y,N,N,Y,Y,3
BOREALIS AVE AND DENNY WAY                                                                                                                                                                                                                                     ,SEMI,74,POOR,1.0,CITY,N,N,14,16,N,Y,N,N,N,N,9
24TH AVE NE AND LAKE CITY WAY NE                                                                                                                                                                                                                               ,SEMI,74,POOR,1.0,HALFPED,N,N,6,6,N,N,N,N,N,N,0
CHELAN AVE SW AND SW SPOKANE SR ST                                                                                                                                                                                                                             ,FULL,74,POOR,1.0,CITY,N,N,6,28,N,Y,Y,N,N,N,1
24TH AVE NW AND NW 57TH ST                                                                                                                                                                                                                                     ,SEMI,74,POOR,2.0,CITY,N,N,4,16,N,N,N,N,N,N,0
8TH AVE NW AND NW 58TH ST                                                                                                                                                                                                                                      ,SEMI,74,POOR,2.0,HALFPED,Y,N,2,2,N,N,N,N,N,N,0
BROADWAY AND JAMES ST                                                                                                                                                                                                                                          ,SEMI,74,GOOD,1.0,CITY,N,N,8,8,N,N,N,N,N,N,8
BOREN AVE AND PINE ST                                                                                                                                                                                                                                          ,PRE,74,EXCELLENT,1.0,CITY,N,N,9,12,N,Y,N,N,N,N,0
BOYLSTON AVE E AND E LYNN ST                                                                                                                                                                                                                                   ,SEMI,74,POOR,2.0,CITY,N,N,4,8,N,Y,N,N,N,N,3
57TH AVE S AND RAINIER AVE S                                                                                                                                                                                                                                   ,SEMI,74,POOR,1.0,CITY,N,N,2,8,N,N,N,N,N,N,0
ALASKAN WR WAY AND YESLER WAY                                                                                                                                                                                                                                  ,FULL,74,POOR,1.0,CITY,N,N,12,12,N,Y,Y,N,N,N,27
6TH AVE AND OLIVE WAY                                                                                                                                                                                                                                          ,PRE,74,FAIR,1.0,CITY,N,N,0,8,N,N,N,N,N,N,0
BROADWAY AND XW E OLIVE ST                                                                                                                                                                                                                                     ,SEMI,74,GOOD,2.0,MIDXWALK,Y,N,2,4,Y,N,N,N,N,N,1
NE BOAT ST AND NE PACIFIC ST                                                                                                                                                                                                                                   ,SEMI,74,POOR,1.0,CITY,N,N,4,12,N,N,N,N,N,N,0
8TH AVE NW AND NW 85TH ST                                                                                                                                                                                                                                      ,PRE,74,POOR,1.0,CITY,N,N,0,16,N,N,N,N,N,N,0
CORWIN PL S AND S DEARBORN ST                                                                                                                                                                                                                                  ,SEMI,74,POOR,1.0,CITY,N,N,6,12,Y,Y,N,N,N,N,0
E MADISON ST AND E PINE ST                                                                                                                                                                                                                                     ,SEMI,74,POOR,1.0,CITY,N,N,2,8,N,N,N,N,N,N,0
12TH AVE AND E MADISON ST                                                                                                                                                                                                                                      ,PRE,74,FAIR,1.0,CITY,N,N,0,10,N,N,N,N,N,N,0
15TH AVE NW AND NW 75TH ST                                                                                                                                                                                                                                     ,SEMI,74,FAIR,1.0,CITY,N,N,8,8,N,N,N,N,Y,N,1
PHINNEY AVE N AND N 65TH ST                                                                                                                                                                                                                                    ,SEMI,74,POOR,2.0,CITY,N,N,4,16,N,N,N,N,N,N,0
ELLIOTT AVE W AND W MERCER ST                                                                                                                                                                                                                                  ,SEMI,74,POOR,1.0,CITY,Y,N,2,4,N,N,N,N,N,N,3
GREEN LAKE DR N AND N 80TH ST                                                                                                                                                                                                                                  ,SEMI,74,POOR,2.0,CITY,N,N,4,16,N,N,N,N,N,N,0
2ND AVE AND BELL ST                                                                                                                                                                                                                                            ,PRE,74,GOOD,1.0,CITY,N,N,2,8,Y,N,N,N,N,N,0
9TH AVE AND SENECA ST                                                                                                                                                                                                                                          ,PRE,74,GOOD,2.0,CITY,N,N,0,8,N,N,N,N,N,N,0
RAINIER AVE S AND S HUDSON ST                                                                                                                                                                                                                                  ,SEMI,74,POOR,1.0,CITY,N,N,4,16,N,N,N,N,N,N,0
4TH AVE AND PINE ST                                                                                                                                                                                                                                            ,PRE,74,POOR,1.0,CITY,Y,N,0,8,N,N,N,N,N,N,0
MERCER ST AND QUEEN ANNE AVE N                                                                                                                                                                                                                                 ,PRE,74,FAIR,1.0,CITY,N,N,8,8,N,N,N,Y,N,Y,1
18TH AVE AND E YESLER WAY                                                                                                                                                                                                                                      ,SEMI,74,POOR,2.0,CITY,N,N,4,16,N,N,N,Y,N,N,0
25TH AVE NE AND NE 125TH ST                                                                                                                                                                                                                                    ,SEMI,74,POOR,1.0,HALFPED,Y,N,2,4,N,N,N,N,N,N,0
SAND POINT WAY NE AND NE 74TH ST                                                                                                                                                                                                                               ,SEMI,74,POOR,2.0,CITY,N,N,6,6,N,Y,Y,N,N,N,0
3RD AVE AND YESLER WAY                                                                                                                                                                                                                                         ,PRE,74,POOR,2.0,CITY,N,N,0,20,N,Y,N,N,N,N,0
BEACON WR AVE S AND S MYRTLE ST                                                                                                                                                                                                                                ,PRE,74,POOR,1.0,CITY,N,N,0,24,N,N,N,N,N,N,10
LAKE WASHINGTON BLVD E AND E MADISON ST                                                                                                                                                                                                                        ,SEMI,74,POOR,2.0,CITY,N,N,17,8,N,N,N,Y,N,N,0
23RD AVE AND E YESLER WAY                                                                                                                                                                                                                                      ,SEMI,74,POOR,1.0,CITY,N,N,8,8,N,N,N,N,N,Y,0
11TH AVE NW AND NW LEARY WAY                                                                                                                                                                                                                                   ,SEMI,74,POOR,1.0,CITY,N,N,4,16,N,N,N,N,N,N,0
15TH SB AVE NW AND NW LEARY WAY                                                                                                                                                                                                                                ,FULL,74,POOR,1.0,CITY,N,N,12,4,N,Y,N,Y,Y,N,0
3RD AVE AND BELL ST                                                                                                                                                                                                                                            ,PRE,74,POOR,2.0,CITY,N,N,0,8,N,N,N,N,N,N,0
AURORA AVE N AND N 68TH ST                                                                                                                                                                                                                                     ,PRE,74,POOR,1.0,NONE,Y,N,4,4,N,N,N,N,N,N,0
3RD AVE AND UNIVERSITY ST                                                                                                                                                                                                                                      ,PRE,74,FAIR,1.0,CITY,N,N,0,16,N,N,N,N,N,N,0
15TH AVE NE AND NE PACIFIC ST                                                                                                                                                                                                                                  ,SEMI,74,FAIR,1.0,CITY,N,N,4,16,N,Y,Y,N,N,N,0
LENORA ST AND WESTERN AVE                                                                                                                                                                                                                                      ,PRE,74,POOR,2.0,CITY,N,N,0,16,N,N,N,N,N,N,0
8TH AVE AND VIRGINIA ST                                                                                                                                                                                                                                        ,PRE,74,FAIR,2.0,CITY,N,N,8,8,N,N,N,N,N,N,0
38TH AVE SW AND SW ALASKA ST                                                                                                                                                                                                                                   ,SEMI,74,FAIR,2.0,FS,N,N,0,0,N,N,N,N,N,N,0
5TH AVE AND BATTERY ST                                                                                                                                                                                                                                         ,PRE,74,FAIR,1.0,CITY,N,Y,0,8,N,N,N,N,N,N,0
2ND AVE AND SENECA ST                                                                                                                                                                                                                                          ,PRE,74,POOR,1.0,CITY,N,N,0,8,Y,N,N,N,N,N,0
MARION ST AND WESTERN AVE                                                                                                                                                                                                                                      ,SEMI,74,FAIR,2.0,CITY,N,N,0,16,N,N,N,N,N,N,0
35TH AVE SW AND SW MORGAN ST                                                                                                                                                                                                                                   ,SEMI,74,FAIR,1.0,CITY,N,N,4,16,N,Y,N,N,N,N,0
1ST AVE S AND S HUDSON ST                                                                                                                                                                                                                                      ,SEMI,74,POOR,1.0,CITY,N,N,8,16,N,N,N,N,Y,Y,2
3RD AVE AND BLANCHARD ST                                                                                                                                                                                                                                       ,PRE,74,POOR,2.0,CITY,N,N,0,16,N,N,N,N,N,N,0
35TH AVE NE AND NE 115TH ST                                                                                                                                                                                                                                    ,SEMI,74,POOR,2.0,CITY,N,N,4,8,N,N,N,N,N,N,0
2ND AVE AND DENNY WAY                                                                                                                                                                                                                                          ,SEMI,74,FAIR,1.0,CITY,N,N,4,8,N,N,N,N,N,N,0
23RD AVE S AND MOUNTAINS TO SOUND TRL                                                                                                                                                                                                                          ,SEMI,74,POOR,1.0,MIDXWALK,Y,Y,2,2,N,N,N,N,N,N,0
DELRIDGE WAY SW AND SW GENESEE ST                                                                                                                                                                                                                              ,SEMI,74,POOR,1.0,CITY,N,N,4,6,N,Y,N,N,N,N,0
BOYLSTON AVE E AND E ROANOKE ST                                                                                                                                                                                                                                ,FULL,74,POOR,2.0,CITY,N,N,0,8,N,Y,Y,N,N,N,0
AURORA AVE N AND N 100TH ST                                                                                                                                                                                                                                    ,SEMI,74,POOR,1.0,CITY,N,N,8,16,N,Y,N,N,Y,N,14
17TH SB AVE NE AND NE 45TH ST                                                                                                                                                                                                                                  ,SEMI,74,POOR,1.0,CITY,N,N,4,16,N,Y,N,N,N,N,0
23RD AVE S AND S JUDKINS ST                                                                                                                                                                                                                                    ,SEMI,74,FAIR,1.0,CITY,N,N,8,8,N,N,N,N,N,N,0
23RD AVE E AND E ALOHA ST                                                                                                                                                                                                                                      ,SEMI,74,POOR,1.0,CITY,N,N,0,8,N,N,N,N,N,N,0
25TH AVE NE AND NE 65TH ST                                                                                                                                                                                                                                     ,SEMI,74,FAIR,1.0,CITY,N,N,4,8,N,N,N,N,N,N,0
RAINIER AVE S AND S GRAHAM ST                                                                                                                                                                                                                                  ,FULL,74,FAIR,1.0,CITY,N,N,7,8,N,Y,N,N,N,N,0
AIRPORT WAY S AND S LUCILE ST                                                                                                                                                                                                                                  ,SEMI,74,POOR,1.0,CITY,N,N,8,6,N,Y,N,N,N,N,45
5TH AVE S AND S SPOKANE NR ST                                                                                                                                                                                                                                  ,SEMI,74,POOR,2.0,CITY,N,N,6,12,N,N,N,N,N,N,0
2ND AVE AND STEWART ST                                                                                                                                                                                                                                         ,PRE,74,POOR,1.0,CITY,N,N,0,8,Y,N,N,N,N,N,0
BROAD ST AND WESTERN AVE                                                                                                                                                                                                                                       ,SEMI,74,FAIR,1.0,CITY,N,N,2,16,N,N,N,N,N,N,0
23RD AVE E AND E MADISON ST                                                                                                                                                                                                                                    ,SEMI,74,POOR,1.0,CITY,N,N,8,8,N,Y,N,N,N,N,0
LAKE CITY WAY NE AND NE 127TH ST                                                                                                                                                                                                                               ,SEMI,74,POOR,1.0,CITY,N,N,4,6,N,N,N,N,N,N,2
20TH AVE NE AND NE 145TH ST                                                                                                                                                                                                                                    ,SEMI,74,POOR,1.0,CITY,N,N,4,8,N,N,N,N,N,N,0
CEDAR ST AND ELLIOTT AVE                                                                                                                                                                                                                                       ,SEMI,74,POOR,1.0,CITY,N,N,4,16,N,N,N,N,N,N,0
5TH AVE NE AND NE 112TH S ST                                                                                                                                                                                                                                   ,SEMI,74,FAIR,2.0,CITY,N,N,6,12,N,Y,N,N,N,N,0
ROOSEVELT WAY NE AND NE 65TH ST                                                                                                                                                                                                                                ,SEMI,74,GOOD,1.0,CITY,N,N,8,8,N,Y,N,N,N,N,0
M L KING JR WAY S AND S JUDKINS ST                                                                                                                                                                                                                             ,SEMI,74,POOR,2.0,CITY,N,N,4,8,N,N,N,Y,N,N,0
FAUNTLEROY WAY SW AND SW MYRTLE ST                                                                                                                                                                                                                             ,SEMI,74,FAIR,2.0,HALFPED,Y,N,2,2,N,N,N,N,N,N,0
5TH AVE AND SENECA ST                                                                                                                                                                                                                                          ,PRE,74,POOR,1.0,CITY,N,N,0,8,N,N,N,N,N,N,0
4TH AVE SB OFF RP AND EDGAR MARTINEZ DR S                                                                                                                                                                                                                      ,SEMI,74,GOOD,1.0,CITY,N,N,2,0,N,Y,Y,Y,Y,N,0
17TH AVE NW AND NW MARKET ST                                                                                                                                                                                                                                   ,PRE,74,POOR,2.0,CITY,N,N,0,16,N,N,N,N,N,N,0
7TH AVE AND PINE ST                                                                                                                                                                                                                                            ,PRE,74,FAIR,1.0,CITY,N,N,8,8,N,N,N,N,N,N,0
15TH AVE NE AND NE 43RD ST                                                                                                                                                                                                                                     ,PRE,74,FAIR,1.0,CITY,N,N,6,8,N,N,N,N,N,N,0
5TH AVE AND MADISON ST                                                                                                                                                                                                                                         ,PRE,74,FAIR,1.0,CITY,N,N,0,8,N,N,N,N,N,N,0
FAIRVIEW AVE N AND THOMAS ST                                                                                                                                                                                                                                   ,SEMI,74,POOR,1.0,CITY,N,N,4,16,N,Y,N,N,N,N,0
RAINIER AVE S AND S ORCAS ST                                                                                                                                                                                                                                   ,SEMI,74,POOR,1.0,CITY,N,N,4,8,N,Y,N,N,N,N,0
5TH AVE AND LENORA ST                                                                                                                                                                                                                                          ,PRE,74,POOR,2.0,CITY,N,N,0,8,N,N,N,N,N,N,0
15TH AVE NE AND NE 127TH ST                                                                                                                                                                                                                                    ,SEMI,74,GOOD,1.0,HALFPED,Y,N,2,2,N,N,N,N,N,N,0
AURORA AVE N AND GREEN LAKE DR N                                                                                                                                                                                                                               ,SEMI,74,POOR,1.0,CITY,N,N,9,16,N,Y,N,N,Y,N,11
20TH AVE NW AND NW 65TH ST                                                                                                                                                                                                                                     ,PRE,74,FAIR,2.0,CITY,N,N,0,8,N,N,N,N,N,N,0
MONTLAKE BLVD NE AND NE PACIFIC PL                                                                                                                                                                                                                             ,SEMI,74,POOR,1.0,CITY,N,N,7,10,N,N,N,Y,Y,Y,0
7TH AVE AND UNION ST                                                                                                                                                                                                                                           ,PRE,74,POOR,1.0,CITY,N,N,0,16,N,N,N,N,N,N,0
BEACON AVE S AND S HANFORD ST                                                                                                                                                                                                                                  ,SEMI,74,POOR,2.0,HALFPED,Y,N,2,4,N,N,N,N,N,N,9
SAND POINT WAY NE AND NE 45TH ST                                                                                                                                                                                                                               ,SEMI,74,FAIR,1.0,CITY,N,N,6,12,N,N,N,N,N,N,0
30TH AVE NE AND NE 125TH ST                                                                                                                                                                                                                                    ,SEMI,74,FAIR,1.0,CITY,N,N,0,15,N,Y,N,N,N,N,0
WESTERN AVE W AND W DENNY WAY                                                                                                                                                                                                                                  ,PRE,74,POOR,1.0,CITY,N,N,0,4,N,N,N,N,N,N,0
5TH AVE AND VINE ST                                                                                                                                                                                                                                            ,PRE,74,POOR,2.0,CITY,N,N,0,16,N,N,N,N,N,N,0
M L KING JR WR WAY S AND S MYRTLE ST                                                                                                                                                                                                                           ,SEMI,74,GOOD,1.0,CITY,N,N,10,16,N,Y,N,N,N,N,0
2ND AVE AND BATTERY ST                                                                                                                                                                                                                                         ,PRE,74,POOR,1.0,CITY,N,N,0,8,Y,N,N,N,N,N,0
15TH AVE NW AND NW 85TH ST                                                                                                                                                                                                                                     ,SEMI,74,FAIR,1.0,CITY,N,N,8,8,N,Y,N,N,Y,Y,1
DENSMORE AVE N AND N 45TH E ST                                                                                                                                                                                                                                 ,SEMI,74,POOR,2.0,CITY,N,N,4,6,N,N,N,N,N,N,0
DIAGONAL AVE S AND EAST MARGINAL WAY S                                                                                                                                                                                                                         ,SEMI,74,POOR,1.0,CITY,N,N,2,16,N,Y,N,Y,Y,N,4
SUMMIT AVE E AND E OLIVE WAY                                                                                                                                                                                                                                   ,SEMI,74,FAIR,1.0,HALFPED,Y,N,2,2,N,N,N,N,N,N,0
3RD AVE AND XW JEFFERSON                                                                                                                                                                                                                                       ,PRE,74,POOR,0.0,MIDXWALK,Y,N,0,4,N,N,N,N,N,N,0
2ND AVE SW AND WEST MARGINAL WAY SW                                                                                                                                                                                                                            ,SEMI,74,FAIR,1.0,CITY,N,N,2,2,N,N,N,N,N,N,0
FAUNTLEROY WAY SW AND SW OREGON ST                                                                                                                                                                                                                             ,SEMI,74,POOR,1.0,CITY,N,Y,4,8,N,N,N,N,N,N,0
1ST AVE S AND S SPOKANE NR ST                                                                                                                                                                                                                                  ,SEMI,74,POOR,1.0,CITY,N,N,12,12,N,Y,N,N,N,N,1
23RD AVE S AND S MCCLELLAN ST                                                                                                                                                                                                                                  ,SEMI,74,GOOD,2.0,CITY,N,N,8,16,N,N,N,N,N,N,0
5TH AVE AND BELL ST                                                                                                                                                                                                                                            ,PRE,74,POOR,2.0,CITY,N,N,0,8,N,N,N,N,N,N,0
AIRPORT WAY S AND AIRPORT SB WAY S                                                                                                                                                                                                                             ,SEMI,74,POOR,1.0,NONE,N,N,2,12,N,N,N,N,N,N,49
CORSON AVE S AND S MICHIGAN ST                                                                                                                                                                                                                                 ,FULL,74,POOR,1.0,CITY,N,N,8,16,N,N,N,N,N,N,0
6TH AVE AND BLANCHARD ST                                                                                                                                                                                                                                       ,PRE,74,FAIR,1.0,CITY,N,N,0,8,N,N,N,N,N,N,0
8TH AVE AND MADISON ST                                                                                                                                                                                                                                         ,PRE,74,FAIR,1.0,CITY,N,N,0,8,N,N,N,N,N,N,0
FREMONT AVE N AND N 34TH ST                                                                                                                                                                                                                                    ,SEMI,74,GOOD,1.0,CITY,N,N,8,8,Y,N,N,N,N,N,4
FREMONT AVE N AND FREMONT WAY N                                                                                                                                                                                                                                ,FULL,74,FAIR,2.0,CITY,N,N,8,8,N,Y,Y,N,N,N,0
4TH AVE AND VINE ST                                                                                                                                                                                                                                            ,PRE,74,FAIR,1.0,CITY,N,N,0,16,N,N,N,N,N,N,0
FAIRVIEW AVE N AND VALLEY UPPER ST                                                                                                                                                                                                                             ,FULL,74,POOR,1.0,CITY,N,N,6,4,N,Y,N,N,N,Y,3
35TH AVE SW AND SW FINDLAY ST                                                                                                                                                                                                                                  ,SEMI,74,POOR,1.0,CITY,N,N,4,8,N,N,N,N,N,N,0
8TH AVE NW AND NW MARKET ST                                                                                                                                                                                                                                    ,FULL,74,POOR,1.0,CITY,N,N,8,8,N,Y,N,N,N,N,0
GREENWOOD AVE N AND N 145TH ST                                                                                                                                                                                                                                 ,FULL,74,POOR,1.0,CITY,N,N,8,16,N,Y,N,N,N,N,0
4TH AVE AND COLUMBIA ST                                                                                                                                                                                                                                        ,PRE,74,FAIR,1.0,CITY,N,N,0,8,N,N,N,N,N,N,0
BROADWAY E AND E OLIVE WAY                                                                                                                                                                                                                                     ,PRE,74,POOR,1.0,CITY,N,Y,8,2,N,N,N,N,N,N,0
7TH AVE S AND S JACKSON ST                                                                                                                                                                                                                                     ,SEMI,74,POOR,1.0,CITY,N,N,8,16,N,N,N,N,N,N,0
HOWELL ST AND YALE AVE                                                                                                                                                                                                                                         ,SEMI,74,FAIR,1.0,CITY,N,N,4,8,N,N,N,N,N,N,0
1ST AVE AND MARION ST                                                                                                                                                                                                                                          ,PRE,74,FAIR,2.0,CITY,N,N,0,8,N,N,N,N,N,N,0
GREENWOOD AVE N AND HOLMAN RD N                                                                                                                                                                                                                                ,FULL,74,FAIR,1.0,CITY,N,N,8,16,N,Y,N,N,N,N,0
ROOSEVELT WAY NE AND NE NORTHGATE WAY                                                                                                                                                                                                                          ,FULL,74,FAIR,1.0,CITY,N,N,8,8,N,Y,N,N,N,N,0
LAKE CITY WAY NE AND NE 115TH ST                                                                                                                                                                                                                               ,SEMI,74,FAIR,1.0,CITY,N,N,4,8,N,N,N,N,N,N,0
