X,Y,SIGNTYPE
-122.344577972501,47.681143376526,yield
-122.300087785775,47.6081029404569,stop
-122.354275179572,47.6198380840975,stop
-122.318374001145,47.5455126350485,stop
-122.37354480025,47.6615191746193,stop
-122.346912709165,47.6758896524503,stop
-122.307342346516,47.6306994241281,stop
-122.288254229072,47.6776348514945,stop
-122.360524879432,47.6256463643971,stop
-122.314823264001,47.6940413142889,stop
-122.324407612488,47.6140154981527,stop
-122.39068056768,47.573906828059,stop
-122.280931001992,47.5276931597456,stop
-122.315617143557,47.6765347898013,stop
-122.359230229752,47.5211199355858,stop
-122.345558904263,47.6742269148953,stop
-122.315029635027,47.7012226670657,stop
-122.307749968555,47.6776683154556,stop
-122.325585852814,47.6140086235989,stop
-122.36052473344,47.6221879421874,stop
-122.286198576458,47.5534682127372,stop
-122.325898275632,47.7021763994144,stop
-127.390658288157,46.8083000791101,stop
-122.307205142893,47.7228927988005,stop
-122.314910531997,47.6957692865405,stop
-122.351547435506,47.7087378342824,stop
-122.314945795103,47.6930388814289,stop
-122.352831480188,47.6208332653334,stop
-122.352530252893,47.6810180972959,stop
-122.314894801611,47.6966793047603,stop
-122.389350223393,47.5737568172365,stop
-122.357963813869,47.619732380702,stop
-122.298517850852,47.6776289490655,stop
-122.314811724362,47.6985902024296,stop
-122.382040291536,47.6654398081154,stop
-122.314847372094,47.6994985060901,stop
-122.320331123342,47.7040757693843,stop
-122.301637166902,47.6775820220352,stop
-122.314921659118,47.6958515539107,stop
-122.280793201856,47.5278300236397,stop
-122.315810417731,47.6765324253278,stop
-122.354282794388,47.620885001363,stop
-122.31484682189,47.6922213245348,stop
-122.303928045539,47.6776561941526,stop
-122.314883027115,47.7004068119022,stop
-122.302405522202,47.5454253243888,stop
-127.390658288157,46.8083000791101,stop
-122.308821566287,47.6776575134019,stop
-122.295247381509,47.7174240563519,stop
-122.287017427304,47.6775655053618,stop
-122.358104513873,47.6198453655115,stop
-122.35909444842,47.5209521077146,stop
