,UNITDESC,STNAME_ORD,XSTRLO,XSTRHI,ARTCLASS,SPEEDLIMIT,SURFACETYPE_1,PVMTCONDINDX1,PVMTCONDINDX2,TRANCLASS,SLOPE_PCT,SHAPE_Length
8069,SW FINDLAY ST BETWEEN 38TH AVE SW AND FAUNTLEROY WAY SW,SW FINDLAY ST,38TH AVE SW,FAUNTLEROY WAY SW,0.0,20.0,PCC,0.0,0.0,0,2.0,325.88953036787
8070,SW FLETCHER ST BETWEEN DEAD END AND 44TH AVE SW,SW FLETCHER ST,DEAD END,44TH AVE SW,0.0,20.0,AC,100.0,0.0,0,10.0,228.995649437413
8071,SW FOREST ST BETWEEN FAIRMOUNT AVE SW AND WALNUT AVE SW,SW FOREST ST,FAIRMOUNT AVE SW,WALNUT AVE SW,0.0,20.0,AC,65.0,0.0,0,5.0,230.718927697026
8072,SW FRONTENAC ST BETWEEN FAUNTLEROY WAY SW AND 46TH AVE SW,SW FRONTENAC ST,FAUNTLEROY WAY SW,46TH AVE SW,0.0,20.0,PCC,73.0,0.0,0,5.0,274.041050785961
8073,SW GENESEE ST BETWEEN 25TH AVE SW AND 26TH AVE SW,SW GENESEE ST,25TH AVE SW,26TH AVE SW,3.0,20.0,PCC,56.0,0.0,3,1.0,269.656591117216
8074,SW GENESEE ST BETWEEN 44TH AVE SW AND 45TH AVE SW,SW GENESEE ST,44TH AVE SW,45TH AVE SW,3.0,25.0,PCC,39.0,0.0,0,11.0,334.01086820745
8075,SW GENESEE ST BETWEEN 49TH AVE SW AND 50TH AVE SW,SW GENESEE ST,49TH AVE SW,50TH AVE SW,3.0,25.0,AC/PCC,89.0,0.0,3,8.0,339.818173195146
8076,SW GENESEE ST BETWEEN 52ND AVE SW AND 52ND PL SW,SW GENESEE ST,52ND AVE SW,52ND PL SW,3.0,25.0,PCC,76.0,0.0,3,2.0,165.950864864905
8077,SW GRAHAM ST BETWEEN 34TH AVE SW AND 35TH AVE SW,SW GRAHAM ST,34TH AVE SW,35TH AVE SW,0.0,20.0,PCC,100.0,0.0,0,2.0,337.758450615155
8078,SW GRAHAM ST BETWEEN FAUNTLEROY WAY SW AND 41ST AVE SW,SW GRAHAM ST,FAUNTLEROY WAY SW,41ST AVE SW,3.0,25.0,PCC,72.0,0.0,0,3.0,320.992368936146
8079,SW GRAHAM ST BETWEEN 48TH AVE SW AND 49TH AVE SW,SW GRAHAM ST,48TH AVE SW,49TH AVE SW,0.0,20.0,PCC,82.0,0.0,0,1.0,319.851482055629
8080,SW GRAYSON ST BETWEEN 50TH AVE SW AND 51ST AVE SW,SW GRAYSON ST,50TH AVE SW,51ST AVE SW,0.0,20.0,ST,0.0,0.0,0,3.0,698.95978824905
8081,SW HANFORD ST BETWEEN DEAD END 2 AND 36TH AVE SW,SW HANFORD ST,DEAD END 2,36TH AVE SW,0.0,20.0,AC,87.0,0.0,0,9.0,162.654661844958
8082,SW HANFORD ST BETWEEN 47TH AVE SW AND 48TH AVE SW,SW HANFORD ST,47TH AVE SW,48TH AVE SW,0.0,20.0,ST,33.0,0.0,0,1.0,326.694625461549
8083,SW HANFORD ST BETWEEN 56TH PL SW AND 57TH AVE SW,SW HANFORD ST,56TH PL SW,57TH AVE SW,0.0,20.0,PCC,80.0,0.0,0,6.0,306.150610019021
8084,SW HEINZE WAY BETWEEN 46TH AVE SW AND 47TH AVE SW,SW HEINZE WAY,46TH AVE SW,47TH AVE SW,0.0,20.0,ST,0.0,0.0,0,6.0,278.825852513874
8085,SW HENDERSON ST BETWEEN 14TH AVE SW AND 15TH AVE SW,SW HENDERSON ST,14TH AVE SW,15TH AVE SW,2.0,25.0,PCC,88.0,0.0,3,6.0,282.01196058057
8086,SW HENDERSON ST BETWEEN 28TH AVE SW AND 29TH AVE SW,SW HENDERSON ST,28TH AVE SW,29TH AVE SW,0.0,20.0,PCC,92.0,0.0,0,9.0,310.001262567874
8087,SW HENDERSON ST BETWEEN 40TH AVE SW AND SW BARTON ST,SW HENDERSON ST,40TH AVE SW,SW BARTON ST,0.0,20.0,PCC,40.0,0.0,0,11.0,746.978106323734
8088,SW HENDERSON ST BETWEEN 44TH AVE SW AND 45TH AVE SW,SW HENDERSON ST,44TH AVE SW,45TH AVE SW,0.0,20.0,PCC,50.0,0.0,0,10.0,282.014963037747
8089,SW HILL ST BETWEEN DEAD END 4 AND CALIFORNIA AVE SW,SW HILL ST,DEAD END 4,CALIFORNIA AVE SW,0.0,20.0,PCC,71.0,0.0,0,4.0,280.200851858747
8090,SW HINDS ST BETWEEN 34TH AVE SW AND DEAD END 5,SW HINDS ST,34TH AVE SW,DEAD END 5,0.0,20.0,AC,0.0,0.0,0,10.0,136.160631495153
8091,SW HINDS ST BETWEEN 37TH AVE SW AND BELVIDERE AVE SW,SW HINDS ST,37TH AVE SW,BELVIDERE AVE SW,0.0,20.0,PCC,61.0,0.0,0,11.0,265.904336402134
8092,SW HINDS ST BETWEEN 45TH AVE SW AND 46TH AVE SW,SW HINDS ST,45TH AVE SW,46TH AVE SW,0.0,20.0,PCC,95.0,0.0,0,10.0,339.914970186847
8093,SW HINDS ST BETWEEN 48TH AVE SW AND 49TH AVE SW,SW HINDS ST,48TH AVE SW,49TH AVE SW,0.0,20.0,ST,0.0,0.0,0,6.0,327.738528719399
8094,SW HINDS ST BETWEEN 62ND AVE SW AND 63RD AVE SW,SW HINDS ST,62ND AVE SW,63RD AVE SW,0.0,20.0,PCC,77.0,0.0,0,0.0,322.144448416575
8095,SW HOLDEN ST BETWEEN 28TH AVE SW AND 29TH AVE SW,SW HOLDEN ST,28TH AVE SW,29TH AVE SW,3.0,25.0,PCC,84.0,0.0,3,5.0,329.019197343106
8096,SW HOLDEN ST BETWEEN HOLDEN PL SW AND 31ST AVE SW,SW HOLDEN ST,HOLDEN PL SW,31ST AVE SW,3.0,25.0,PCC,84.0,0.0,3,5.0,181.967757861668
8097,SW HOLDEN ST BETWEEN 39TH AVE SW AND 41ST AVE SW,SW HOLDEN ST,39TH AVE SW,41ST AVE SW,3.0,25.0,PCC,78.0,0.0,0,2.0,662.712235703021
8098,SW HOLGATE ST BETWEEN 46TH AVE SW AND 47TH AVE SW,SW HOLGATE ST,46TH AVE SW,47TH AVE SW,0.0,20.0,PCC,68.0,0.0,0,3.0,320.001798181493
8099,SW HOLLY ST BETWEEN 15TH AVE SW AND 16TH AVE SW,SW HOLLY ST,15TH AVE SW,16TH AVE SW,0.0,20.0,ST,100.0,0.0,0,10.0,286.04867983989
8100,SW HOLLY ST BETWEEN 31ST AVE SW AND 32ND AVE SW,SW HOLLY ST,31ST AVE SW,32ND AVE SW,0.0,20.0,PCC,0.0,0.0,0,1.0,376.000911413207
8101,SW HOLLY ST BETWEEN 42ND AVE SW AND CALIFORNIA AVE SW,SW HOLLY ST,42ND AVE SW,CALIFORNIA AVE SW,0.0,20.0,PCC,0.0,0.0,0,9.0,361.657527295676
8102,SW HUDSON ST BETWEEN DELRIDGE WAY SW AND 25TH AVE SW,SW HUDSON ST,DELRIDGE WAY SW,25TH AVE SW,0.0,20.0,ST,44.0,0.0,0,8.0,329.975524556946
8103,SW HUDSON ST BETWEEN 26TH AVE SW AND DEAD END 2,SW HUDSON ST,26TH AVE SW,DEAD END 2,0.0,20.0,GRAVEL,0.0,0.0,0,7.0,183.006822643045
8104,SW HUDSON ST BETWEEN DEAD END 4 AND 42ND AVE SW,SW HUDSON ST,DEAD END 4,42ND AVE SW,0.0,20.0,PCC,72.0,0.0,0,4.0,224.665196942451
8105,SW HUDSON ST BETWEEN 46TH AVE SW AND 47TH AVE SW,SW HUDSON ST,46TH AVE SW,47TH AVE SW,0.0,20.0,AC,76.0,0.0,0,11.0,304.341064832232
